연번,자치구,ID,정류소명,주소,행정동명,위도,경도
1283,북구,4433,운암초교(서영대학교),광주광역시 북구 운암동 1018-2,북구 운암동,35.1796072672775,126.871871762223
1284,북구,4434,경신여고(무등경기장(북)),광주광역시 북구 운암동 397-5,북구 운암동,35.1724970598958,126.888511923529
1285,북구,4435,경신여고(광천파출소),광주광역시 북구 운암동 99,북구 운암동,35.1753982177361,126.881077754694
1286,북구,4436,한국국토정보공사광주중부지사(중앙여고),광주광역시 북구 운암동 497,북구 운암동,35.1747286241733,126.885499889094
1287,북구,4437,광암교입구(동림동천마을6단지),광주광역시 북구 운암동 426,북구 운암동,35.1709251581598,126.882199879751
1288,북구,4438,광암교입구(공구의거리),광주광역시 북구 운암동 426,북구 운암동,35.1709251581598,126.882199879751
1289,북구,4439,무등야구장(무등경기장(북)),광주광역시 북구 임동 418,북구 임동 ,35.1700196778736,126.886857877579
1290,북구,4440,무등야구장(공구의거리),광주광역시 북구 운암동 428,북구 운암동,35.1705050763705,126.88610702787
1291,북구,4441,문화예술회관(운암시장),광주광역시 북구 운암동 99,북구 운암동,35.1753982177361,126.881077754694
1292,북구,4442,문화예술회관(운암3단지),광주광역시 북구 운암동 497,북구 운암동,35.1747286241733,126.885499889094
1293,북구,4443,문화예술회관후문(체육고/폴리텍5대학),광주광역시 북구 운암동 157-4,북구 운암동,35.1787434044065,126.880236670211
1294,북구,4444,공구의거리(광암교입구),광주광역시 북구 운암동 426,북구 운암동,35.1709251581598,126.882199879751
1295,북구,4445,공구의거리(제2광천교),광주광역시 북구 운암동 426,북구 운암동,35.1709251581598,126.882199879751
1296,북구,4446,광주지방기상청(신안교),광주광역시 북구 운암동 산 1-6,북구 운암동,35.1721307842046,126.890927550879
1297,북구,4447,광주지방기상청(경신여고),광주광역시 북구 운암동 1-15,북구 운암동,35.1723728486741,126.890683090552
1298,북구,4448,운암시장(경신여고),광주광역시 북구 운암동 99,북구 운암동,35.1753982177361,126.881077754694
1299,북구,4449,운암시장(운암3단지),광주광역시 북구 운암동 99,북구 운암동,35.1753982177361,126.881077754694
1300,북구,4450,제2광천교(광천파출소),광주광역시 북구 운암동 1632,북구 운암동,35.1700285307101,126.884113378385
1301,북구,4451,중앙여고(문화예술회관),광주광역시 북구 운암동 497,북구 운암동,35.1747286241733,126.885499889094
1302,북구,4452,마당고개(박물관입구),광주광역시 북구 운암동 산 71-13,북구 운암동,35.1908658484954,126.877381136674
1303,북구,4453,마당고개(광주다문화가족지원거점센터),광주광역시 북구 운암동 산 70-2,북구 운암동,35.1908709259403,126.877499711652
1304,북구,4454,국립광주박물관입구(마당고개),광주광역시 북구 매곡동 417-3,북구 매곡동,35.1869184222899,126.880686468058
1305,북구,4455,운암도서관(운암벽산블루밍),광주광역시 북구 운암동 357-10,북구 운암동,35.1789812419699,126.875294122879
1306,북구,4456,운암우미아파트(시립장애인복지관),광주광역시 북구 운암동 1058-12,북구 운암동,35.1838375517311,126.871316396514
1307,북구,4457,운암우미아파트(운암중),광주광역시 북구 운암동 1059-19,북구 운암동,35.1833171023215,126.871309970845
1308,북구,4458,운암중(운암우미아파트),광주광역시 북구 운암동 304-2,북구 운암동,35.1808462618568,126.873837937517
1309,북구,4459,운암중(운암3단지),광주광역시 북구 운암동 1040-14,북구 운암동,35.18137147817,126.873230119524
1310,북구,4460,운암초교(운암3단지),광주광역시 북구 운암동 965-1,북구 운암동,35.1795927602467,126.872132191531
1311,북구,4461,체육고.폴리텍대학(문화예술회관),광주광역시 북구 운암동 산 48-2,북구 운암동,35.1820451292898,126.880752326414
1312,북구,4462,체육고.폴리텍대학(광주박물관),광주광역시 북구 운암동 산 47-3,북구 운암동,35.1830056724745,126.8809035289
1313,북구,4463,명상의집(우치공원),광주광역시 북구 일곡동 32-4,북구 일곡동,35.2160910155432,126.902695561944
1314,북구,4464,명상의집(교통연수원입구),광주광역시 북구 일곡동 46-2,북구 일곡동,35.2157217003243,126.901985717863
1315,북구,4465,오비맥주(코카콜라),광주광역시 북구 일곡동 685,북구 일곡동,35.1997552162835,126.885712620606
1316,북구,4466,살레시오고/교통문화연수원(살레시오고),광주광역시 북구 일곡동 산 76-4,북구 일곡동,35.2167276374796,126.89441016775
1317,북구,4467,서일초교(일곡초교),광주광역시 북구 일곡동 933-1,북구 일곡동,35.2099398334083,126.9012478378
1318,북구,4468,서일초교(일곡삼호아파트),광주광역시 북구 일곡동 933-1,북구 일곡동,35.2099398334083,126.9012478378
1319,북구,4469,살레시오고입구(유격훈련장),광주광역시 북구 일곡동 51-9,북구 일곡동,35.2151117203069,126.899958304975
1320,북구,4470,살레시오고입구(살레시오고),광주광역시 북구 일곡동 산 65,북구 일곡동,35.2155033140429,126.8994708299
1321,북구,4471,월산(삼각동)(일곡청솔4차아파트),광주광역시 북구 삼각동 826-1,북구 삼각동,35.2017226811541,126.894751894079
1322,북구,4472,유격훈련장(일곡현대3차아파트),광주광역시 북구 일곡동 933-1,북구 일곡동,35.2099398334083,126.9012478378
1323,북구,4473,유격훈련장(교통연수원입구),광주광역시 북구 일곡동 933-1,북구 일곡동,35.2099398334083,126.9012478378
1324,북구,4474,일곡사거리(일곡초교),광주광역시 북구 일곡동 934-1,북구 일곡동,35.2034063240259,126.898453472825
1325,북구,4475,일곡사거리(국제고),광주광역시 북구 일곡동 841-7,북구 일곡동,35.2037314437707,126.898133723059
1326,북구,4476,닭뫼(평촌),광주광역시 북구 충효동 1006-3,북구 충효동,35.1779024993465,127.009574690571
